Employee_No,Name,Gender,Year_of_Birth,Marital_Status,Religion_ID,Designation_ID,Employment_Category,Employment_Type,Join_year,Status,Inactive_year,Inactive_Month,Active_years,Active_months
726,Ramiro Leffler,Male,1978,Married,1,24,Staff,Contarct Basis,2020,Inactive,2020.0,8.0,3,5
728,Dr Candelario Douglas Jr,Male,1991,Married,1,22,Staff,Contarct Basis,2020,Resigned,2021.0,5.0,3,5
729,Miss Allison Tillman,Male,1964,Married,1,124,Labour,Contarct Basis,2020,Inactive,2020.0,6.0,3,4
730,Katarina Wintheiser,Male,1993,Single,2,27,Staff,Contarct Basis,2018,Inactive,2020.0,12.0,5,2
731,Letha Gleason,Male,2000,Single,1,51,Staff,Contarct Basis,2018,Resigned,2021.0,3.0,4,8
733,Katrina Effertz,Male,1985,Married,1,80,Staff,Contarct Basis,2019,Inactive,2020.0,7.0,4,6
734,Dorcas Wuckert,Male,1987,Married,3,33,Staff,Contarct Basis,2019,Inactive,2021.0,2.0,4,1
735,Miss Chanelle Corkery I,Male,1991,Single,3,36,Staff,Contarct Basis,2020,Resigned,2021.0,7.0,3,4
736,Benjamin Cronin,Male,1987,Married,1,8,Staff,Contarct Basis,2010,Active,,,13,1
737,Herminia Feest,Male,1976,Married,1,64,Staff,Contarct Basis,2019,Inactive,2020.0,9.0,3,7
738,Shakira Wiegand,Male,1978,Married,1,1,Labour,Contarct Basis,2021,Resigned,2021.0,9.0,2,6
739,Jadyn Lang,Male,1971,Married,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,9.0,4,3
740,Dr Jackie Schumm I,Male,1974,Married,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,3.0,4,3
741,Precious Kemmer,Male,1984,Single,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,6.0,3,1
742,Josie Gutkowski,Male,1984,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,2.0,2,6
743,Prof Bertha Emard Sr,Male,1987,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,2.0,2,7
744,Shanny Kohler MD,Male,1975,Married,1,1,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,2,10
747,Craig Gutmann,Male,1994,Single,1,7,Staff,Contarct Basis,2017,Active,,,6,5
749,Miss Frances Barton IV,Male,1951,Married,1,135,Labour,Contarct Basis,2019,Active,,,3,9
750,Dallin Feeney,Male,1958,Married,1,37,Labour,Contarct Basis,2019,Inactive,2020.0,8.0,3,7
751,Kristina Bahringer,Male,1978,Married,1,43,Labour,Contarct Basis,2020,Inactive,2020.0,4.0,3,6
752,Mr German Spinka DDS,Male,1999,Single,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
753,Dr Marco Casper,Male,1963,Married,1,102,Staff,Contarct Basis,2007,Inactive,2020.0,2.0,16,2
754,Herman Cronin,Male,1987,Single,1,31,Labour,Contarct Basis,2019,Active,,,4,6
755,Lorine Grimes,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Active,,,4,4
756,Adah Tromp,Male,1987,Married,3,123,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,6
757,Lisa Jaskolski,Male,1987,Married,1,123,Labour,Contarct Basis,2020,Resigned,2022.0,4.0,3,0
758,Leon Trantow,Female,1987,Married,1,29,Labour,Contarct Basis,2020,Active,,,3,5
760,Myrtle Hammes,Male,1967,Married,1,30,Labour,Contarct Basis,2020,Active,,,2,7
761,Vanessa Tremblay IV,Male,1993,Single,1,38,Labour,Contarct Basis,2020,Resigned,2022.0,5.0,3,1
762,Hulda Leannon III,Male,1952,Married,1,134,Labour,Contarct Basis,2019,Resigned,2020.0,12.0,4,0
764,Nelson Considine,Male,2003,Single,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,6
765,Prof Garret Blanda I,Male,2003,Single,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,6
767,Sierra Marks,Male,1993,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,3,5
770,Elenor Nitzsche,Male,1964,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,7.0,3,5
772,Theron Nader,Male,1987,Single,3,31,Labour,Contarct Basis,2020,Resigned,2021.0,10.0,3,6
776,Ms Trisha Barrows DVM,Male,1997,Single,1,55,Labour,Contarct Basis,2019,Resigned,2020.0,12.0,3,8
777,Evert Christiansen,Male,2001,Single,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,9.0,2,11
778,Rosina Feil DVM,Male,1961,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,6.0,3,1
780,Jean Stanton,Male,1999,Single,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,9.0,3,6
781,Janessa Powlowski,Male,1990,Married,4,31,Labour,Contarct Basis,2019,Resigned,2022.0,3.0,4,6
782,Dr Amara Leffler,Male,2000,Single,4,31,Labour,Contarct Basis,2020,Active,,,3,4
783,Kassandra Gerlach,Male,2000,Single,3,31,Labour,Contarct Basis,2019,Resigned,2022.0,1.0,4,6
784,Dale Kuhn,Male,1954,Married,3,31,Labour,Contarct Basis,2019,Resigned,2021.0,5.0,4,6
785,Dr Garth Gerlach,Male,1987,Married,3,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,4,6
788,Mr Garrett Bernier,Male,1961,Married,4,31,Labour,Contarct Basis,2019,Resigned,2021.0,5.0,4,6
789,Alexandrea Cormier V,Male,1996,Single,3,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,4,6
791,Porter Renner,Male,2000,Single,4,31,Labour,Contarct Basis,2019,Inactive,2021.0,2.0,4,5
794,Jennyfer Waelchi III,Male,1966,Married,4,31,Labour,Contarct Basis,2019,Inactive,2019.0,12.0,4,0
796,Gustave Balistreri Sr,Male,1995,Single,3,31,Labour,Contarct Basis,2019,Inactive,2020.0,7.0,4,1
798,Wilfrid Smitham,Male,1993,Married,1,31,Labour,Contarct Basis,2018,Resigned,2021.0,8.0,4,7
799,Gage Deckow III,Male,1968,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,7.0,4,6
801,Amber Mitchell,Male,1983,Single,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,9.0,3,10
802,Dr Cristal Collier Jr,Male,1980,Married,1,1,Labour,Contarct Basis,2019,Inactive,2020.0,7.0,4,1
803,Mozell Cremin,Male,1992,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,5.0,3,8
805,Dave DuBuque DDS,Male,1995,Married,1,31,Labour,Contarct Basis,2021,Resigned,2021.0,4.0,2,5
806,Pinkie Harber,Male,1999,Single,1,31,Labour,Contarct Basis,2021,Resigned,2021.0,4.0,2,5
808,Katelyn Mitchell,Male,1985,Single,3,122,Labour,Contarct Basis,2020,Active,,,3,1
809,Libbie Price PhD,Male,1978,Married,3,31,Labour,Contarct Basis,2019,Resigned,2022.0,10.0,4,0
810,Elza Bode,Male,1960,Married,3,31,Labour,Contarct Basis,2019,Resigned,2021.0,8.0,4,0
811,Miss Libby Dibbert,Male,1966,Married,4,31,Labour,Contarct Basis,2019,Active,,,4,0
812,Sarina Weber,Male,1992,Married,4,1,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,4,0
813,Sherwood Padberg,Male,1975,Married,1,30,Labour,Contarct Basis,2020,Resigned,2021.0,12.0,2,7
814,Dr Noble Bruen,Male,1981,Married,3,122,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,4,0
816,Connie Murazik,Male,1998,Single,3,31,Labour,Contarct Basis,2019,Resigned,2021.0,8.0,3,11
817,Gerda Hoppe,Male,1998,Single,3,30,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,3,8
823,Nolan Mann,Male,1972,Married,3,31,Labour,Contarct Basis,2020,Resigned,2020.0,12.0,3,5
825,Prof Jayden Vandervort PhD,Male,1975,Married,3,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
826,Miss Fabiola Morissette,Male,1996,Single,4,31,Labour,Contarct Basis,2020,Active,,,3,5
827,Lowell Lang,Male,1987,Married,3,30,Labour,Contarct Basis,2019,Inactive,2020.0,5.0,3,10
828,Abigayle Deckow,Male,1981,Married,3,31,Labour,Contarct Basis,2020,Active,,,3,1
829,Lexie Wunsch,Male,1987,Married,3,122,Labour,Contarct Basis,2019,Resigned,2022.0,1.0,3,8
830,Kiley Deckow,Male,1987,Single,3,122,Labour,Contarct Basis,2020,Resigned,2022.0,6.0,3,5
832,Bella Rosenbaum,Male,1970,Married,1,55,Labour,Contarct Basis,2019,Resigned,2022.0,2.0,4,6
837,Lauren Cassin,Male,1996,Single,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,6.0,3,6
838,Chloe Hammes III,Male,1994,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,3,1
839,Elwin Luettgen,Male,1997,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,3,4
841,Evangeline Cummings,Male,1987,Married,4,31,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,4,6
845,Della Tremblay,Male,1987,Single,3,31,Labour,Contarct Basis,2020,Inactive,2020.0,5.0,3,6
848,Joannie Shields,Male,1987,Married,1,1,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,2,7
850,Jewell Bogisich,Male,1987,Single,1,30,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,11
852,Amos Cremin IV,Male,1973,Married,4,122,Labour,Contarct Basis,2019,Active,,,3,10
853,Raymundo Ortiz,Male,1982,Married,3,30,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,3,10
854,Prof Sandrine Kulas,Male,1987,Married,4,38,Labour,Contarct Basis,2021,Resigned,2022.0,8.0,2,5
855,Rebecca Kuvalis III,Male,1987,Single,3,31,Labour,Contarct Basis,2019,Inactive,2020.0,5.0,3,7
858,Dr Jadon Rempel,Male,1949,Married,3,122,Labour,Contarct Basis,2019,Resigned,2022.0,10.0,3,6
859,Kaylin Aufderhar IV,Male,1995,Single,3,122,Labour,Contarct Basis,2019,Resigned,2022.0,8.0,3,6
860,Layne Bins MD,Male,1966,Single,1,30,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,3,6
861,Charlene Harris,Male,1966,Married,1,1,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,6
863,Mortimer Walter,Male,1987,Married,1,30,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
864,Maya King,Male,1987,Single,3,122,Labour,Contarct Basis,2020,Resigned,2021.0,4.0,3,5
866,Chanelle Konopelski,Male,1987,Single,4,122,Labour,Contarct Basis,2020,Resigned,2022.0,7.0,3,5
867,Irwin Treutel,Male,1987,Married,3,122,Labour,Contarct Basis,2020,Inactive,2020.0,5.0,3,5
869,Dr Milford Gerlach Sr,Male,1987,Single,3,122,Labour,Contarct Basis,2020,Resigned,2021.0,11.0,3,5
870,Louvenia Gerlach,Male,1987,Married,3,30,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
871,Prof Royal Koelpin,Male,1987,Single,3,38,Labour,Contarct Basis,2020,Resigned,2021.0,12.0,3,4
872,Antonetta Littel,Female,1987,Married,1,134,Labour,Contarct Basis,2020,Active,,,3,1
873,Prof Nicolas Cronin,Male,1970,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,9
875,Prof Marie Sporer Sr,Male,1989,Married,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,7.0,3,9
877,Margie Tremblay,Male,1992,Single,1,31,Labour,Contarct Basis,2019,Resigned,2020.0,11.0,3,10
878,Dennis Miller,Male,1984,Married,1,31,Labour,Contarct Basis,2019,Resigned,2022.0,3.0,3,10
879,Dean Strosin,Male,1979,Married,1,29,Labour,Contarct Basis,2019,Resigned,2021.0,3.0,3,10
880,Constance McClure,Male,1963,Married,1,135,Labour,Contarct Basis,2019,Active,,,3,9
882,Miss Judy Carroll III,Male,1960,Married,1,135,Labour,Contarct Basis,2019,Resigned,2022.0,4.0,3,9
886,Mr Gaston Wintheiser,Male,1971,Married,1,31,Labour,Contarct Basis,2019,Resigned,2020.0,12.0,3,7
889,Danika Collier,Male,1977,Married,1,31,Labour,Contarct Basis,2020,Inactive,2021.0,6.0,3,1
890,Mr Schuyler Fritsch Jr,Male,1999,Married,1,31,Labour,Contarct Basis,2021,Resigned,2022.0,3.0,2,4
891,Alyce Littel,Male,1980,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,5
892,Mr Christ Schinner,Male,1976,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
894,Dr Destany Rempel,Male,1963,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,3,5
895,Eric Luettgen,Male,1986,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,10.0,3,5
896,Jed Hermann MD,Male,1980,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,5
897,Sonia Stoltenberg I,Male,1982,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,1.0,3,5
898,Dean Kohler,Male,1968,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,1.0,3,5
899,Alysa Schimmel,Male,1971,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,12.0,3,5
900,Gussie Beahan MD,Male,1983,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,5
901,Mrs Heloise Kovacek,Male,1986,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
902,Ms Elta Hoeger III,Male,1989,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,4
905,Isabelle Turner,Male,1975,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,4
906,Dave Bernhard,Male,1985,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,4
907,Kacie Rippin PhD,Male,1987,Married,1,134,Labour,Contarct Basis,2020,Resigned,2021.0,3.0,3,5
908,Prof Oswaldo Collins,Male,1984,Married,1,30,Labour,Contarct Basis,2020,Active,,,3,1
910,Sheila Toy,Male,1981,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,1.0,3,1
918,Kameron Hilpert,Male,1984,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,10.0,3,1
921,Mrs Meagan Jenkins,Male,1982,Married,1,1,Labour,Contarct Basis,2020,Resigned,2022.0,4.0,3,1
923,Ms Margarita Vandervort IV,Male,1970,Married,1,7,Staff,Contarct Basis,2014,Resigned,2021.0,8.0,9,4
924,Eliezer Schaden,Male,1993,Single,2,33,Staff,Contarct Basis,2018,Inactive,2020.0,6.0,5,2
925,Flo Nienow,Male,1977,Married,2,22,Staff,Contarct Basis,2019,Active,,,4,5
926,Mrs Kiarra Hickle,Male,1977,Married,1,55,Labour,Contarct Basis,2020,Inactive,2020.0,9.0,2,10
928,Kevin Dooley,Male,1975,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,7.0,3,6
929,Prof Esther Bradtke MD,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,9.0,4,6
930,Prof Cody Monahan,Male,1996,Single,1,1,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,4,6
932,Prof Oscar Shields,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,4.0,4,6
933,Ferne Beier V,Male,1977,Married,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,4.0,4,3
934,Mr Keshawn DuBuque,Male,1960,Married,1,31,Labour,Contarct Basis,2019,Resigned,2021.0,4.0,4,6
939,Rasheed Abshire,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,4,0
940,Mr Michael Cassin,Male,1997,Single,1,70,Staff,Contarct Basis,2020,Inactive,2020.0,8.0,3,4
941,Hardy Casper,Female,1993,Single,1,2,Staff,Contarct Basis,2020,Resigned,2022.0,7.0,3,5
942,Lilliana Wisozk,Male,1994,Single,1,48,Staff,Contarct Basis,2020,Active,,,3,4
943,Mr Cameron McCullough,Male,1997,Single,1,88,Staff,Contarct Basis,2020,Resigned,2021.0,4.0,3,4
944,Louie Hackett,Male,1987,Single,1,48,Staff,Contarct Basis,2020,Inactive,2020.0,8.0,3,4
945,Ernest Effertz,Male,1964,Married,1,6,Staff,Contarct Basis,2020,Active,,,3,4
947,Edmond Schulist,Male,1962,Married,1,107,Staff,Contarct Basis,2020,Active,,,3,4
948,Genevieve Hahn,Male,1988,Single,1,8,Staff,Contarct Basis,2020,Active,,,3,4
949,Sunny Heller,Male,1988,Married,1,8,Staff,Contarct Basis,2020,Inactive,2020.0,9.0,3,5
950,Isai Jacobson IV,Male,1987,Single,1,7,Staff,Contarct Basis,2020,Active,,,3,2
951,Maybell Okuneva,Male,1995,Single,1,27,Staff,Contarct Basis,2018,Resigned,2020.0,12.0,5,3
952,Benjamin Willms,Male,1956,Married,1,120,Management,Contarct Basis,2020,Inactive,2020.0,10.0,3,1
953,Orland Hansen,Male,1987,Married,1,29,Labour,Contarct Basis,2019,Inactive,2020.0,9.0,4,6
958,Mariana Borer,Male,1987,Married,1,1,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,9
959,Ellis Mayer,Male,1984,Married,1,1,Labour,Contarct Basis,2021,Resigned,2021.0,4.0,2,5
961,Cecile Jacobson,Male,1971,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,9
962,Krystal Dietrich,Male,1997,Married,1,31,Labour,Contarct Basis,2021,Active,,,2,5
965,Mr Connor Hauck,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,8
968,Sammy Heidenreich,Male,1987,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,4.0,2,7
969,Cristopher Keebler,Male,1987,Married,1,31,Labour,Contarct Basis,2021,Resigned,2021.0,3.0,2,5
970,Prof Freeda Strosin II,Male,1987,Married,1,53,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,7
971,Eula Klein,Male,1985,Married,1,22,Staff,Contarct Basis,2019,Resigned,2021.0,4.0,4,1
973,Dario Romaguera,Male,2003,Single,2,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,5
975,Julius Douglas,Male,1996,Single,1,128,Staff,Contarct Basis,2019,Resigned,2021.0,11.0,3,9
976,Dr Hettie Robel,Male,1997,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,4.0,3,11
977,Domingo Harber I,Male,1996,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,5.0,3,11
979,Mrs Alvera McClure Sr,Male,1968,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,9
983,Magnus Gerlach III,Male,1985,Married,1,31,Labour,Contarct Basis,2021,Active,,,2,5
984,Jamel Davis,Male,1959,Married,1,32,Staff,Contarct Basis,2010,Inactive,2020.0,6.0,13,0
986,Zoey Rempel,Male,1992,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,2.0,3,1
987,Dr Waylon Cassin DVM,Male,1996,Married,1,1,Labour,Contarct Basis,2020,Resigned,2021.0,7.0,3,1
988,Horace Connelly,Male,1969,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,9
989,Katharina Kling,Male,1997,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,3,9
990,Miss Makayla Weber IV,Male,1995,Single,1,31,Labour,Contarct Basis,2019,Resigned,2020.0,12.0,3,9
991,Jarred D'Amore,Male,1996,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,3.0,3,8
992,Erika Kihn,Male,1987,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,3,1
994,Mr Jefferey Bernier,Male,1985,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,7.0,3,1
999,Lily Fritsch,Male,1980,Married,1,1,Labour,Contarct Basis,2020,Resigned,2022.0,2.0,3,6
1000,Tamara Grant IV,Male,1971,Married,1,1,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,6
1002,Ms Amanda Yost,Male,1988,Married,1,1,Labour,Contarct Basis,2020,Resigned,2021.0,3.0,3,5
1003,Mollie Lemke MD,Male,1977,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,6
1006,Melvin Schroeder,Male,1974,Married,1,37,Staff,Contarct Basis,2018,Resigned,2021.0,3.0,4,7
1007,Maximus Luettgen,Male,1988,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1008,Caroline Williamson I,Male,1969,Married,1,31,Labour,Contarct Basis,2020,Active,,,3,4
1009,Jewel Lakin,Male,1974,Married,1,1,Labour,Contarct Basis,2020,Inactive,2020.0,4.0,3,4
1010,Nikki McLaughlin,Male,2003,Single,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1013,Prof Brent Mills MD,Male,1999,Single,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,7.0,3,4
1015,Rebekah Yost,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,7
1016,Prof Dorothea Lubowitz,Male,1987,Married,1,31,Labour,Contarct Basis,2021,Resigned,2021.0,2.0,2,5
1017,Kailey Schumm,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2019.0,12.0,3,7
1018,Bessie Lueilwitz,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,7
1019,Prof Hertha Bernier I,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,7
1020,Mr Johann Hirthe V,Male,1957,Married,1,31,Labour,Contarct Basis,2019,Inactive,2019.0,12.0,3,8
1033,Mrs Verona Spencer DDS,Male,2001,Single,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,7
1037,Gudrun Schumm Sr,Male,1972,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,12.0,3,7
1045,Bria Wiza,Male,1968,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1046,Effie Feil V,Male,1994,Single,3,30,Labour,Contarct Basis,2020,Inactive,2020.0,6.0,3,4
1047,Israel Hettinger,Male,1960,Married,1,31,Labour,Contarct Basis,2020,Resigned,2020.0,12.0,3,4
1050,Mr Brando Sauer PhD,Male,1982,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,9.0,3,4
1051,Davin Mueller IV,Male,1976,Married,1,1,Labour,Contarct Basis,2019,Inactive,2019.0,12.0,4,6
1052,Robert Swift,Male,2000,Single,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1054,Dr Travon Gutmann V,Male,1992,Single,3,122,Labour,Contarct Basis,2020,Resigned,2021.0,10.0,3,3
1055,Nayeli Stehr,Male,2000,Single,3,122,Labour,Contarct Basis,2020,Inactive,2020.0,4.0,3,3
1056,Dan Heathcote,Male,1964,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,6.0,3,4
1057,Pierce Kling,Male,1976,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1058,Pasquale Block,Male,1973,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1060,Alene Rath,Male,1987,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,6.0,2,7
1061,Dr Ashley Doyle,Male,1998,Single,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,1.0,3,4
1063,Dejah Cormier,Male,1979,Married,1,1,Labour,Contarct Basis,2019,Inactive,2020.0,9.0,3,7
1064,Rosalia Braun,Male,1969,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,2.0,3,5
1065,Shawn Goldner IV,Male,1998,Single,1,80,Staff,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1066,Alfreda Stiedemann Jr,Female,1993,Single,1,125,Staff,Contarct Basis,2020,Resigned,2020.0,12.0,3,5
1068,Sheldon Boehm,Male,1987,Single,1,27,Staff,Contarct Basis,2019,Inactive,2020.0,9.0,3,11
1069,Brando Zboncak,Male,1987,Single,1,35,Staff,Contarct Basis,2018,Inactive,2020.0,9.0,4,11
1070,Dameon Kshlerin I,Male,1987,Married,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,9.0,2,11
1071,Mr Dewitt Mraz DDS,Male,1955,Married,1,55,Staff,Contarct Basis,2015,Resigned,2022.0,9.0,8,0
1072,Zena Bauch,Male,1987,Married,1,55,Labour,Contarct Basis,2021,Resigned,2022.0,6.0,2,5
1073,Arden Upton Jr,Male,1968,Married,1,27,Staff,Contarct Basis,2017,Active,,,6,4
1074,Prof Devan Bogisich V,Male,1987,Married,1,31,Labour,Contarct Basis,2019,Inactive,2020.0,6.0,3,7
1076,Ms Adell Watsica,Male,1983,Married,3,31,Labour,Contarct Basis,2020,Inactive,2020.0,3.0,3,4
1077,Marianne Dickens,Male,1976,Married,1,116,Management,Contarct Basis,2019,Inactive,2020.0,6.0,3,9
1078,Bart Weber,Male,1991,Married,1,97,Staff,Contarct Basis,2019,Inactive,2020.0,9.0,4,4
1080,Mrs Matilda Lehner DVM,Male,1961,Married,1,107,Staff,Contarct Basis,2019,Active,,,3,10
1081,Elza Bailey,Male,1957,Married,1,68,Staff,Contarct Basis,2019,Active,,,4,2
1082,Sally Hegmann,Male,1999,Single,1,55,Labour,Contarct Basis,2020,Inactive,2020.0,10.0,3,4
1083,Sherman Hahn,Male,1987,Single,3,108,Staff,Contarct Basis,2020,Inactive,2020.0,6.0,3,5
1084,Mr Antonio Parisian,Male,2001,Single,1,31,Labour,Contarct Basis,2020,Inactive,2020.0,10.0,3,4
1085,Chadd Gorczany Sr,Male,1978,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,5.0,2,7
1086,Prof Peyton Waelchi DVM,Male,1981,Married,1,22,Staff,Contarct Basis,2020,Resigned,2021.0,11.0,3,4
1089,Flavio Monahan,Male,1987,Single,1,31,Labour,Contarct Basis,2019,Resigned,2022.0,8.0,3,8
1090,Edmund McClure,Male,1995,Single,1,129,Labour,Contarct Basis,2020,Inactive,2020.0,10.0,3,5
1092,Jaeden Mohr,Male,1980,Married,1,104,Management,Contarct Basis,2020,Inactive,2020.0,6.0,3,1
1093,Dr Fabiola Ward Jr,Male,1970,Married,1,31,Labour,Contarct Basis,2019,Resigned,2022.0,2.0,3,10
1094,Candida Wisozk,Male,1993,Married,1,31,Labour,Contarct Basis,2019,Resigned,2022.0,3.0,3,9
1097,Karl Rau,Male,1987,Married,1,134,Labour,Contarct Basis,2020,Active,,,3,5
1098,Nichole Murray,Male,1980,Married,3,71,Staff,Contarct Basis,2017,Resigned,2022.0,3.0,6,0
1104,Allene Sipes,Male,1993,Single,1,31,Labour,Contarct Basis,2020,Resigned,2020.0,12.0,3,4
1106,Isabelle Daniel,Male,1953,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,6.0,3,4
1109,Martine Lesch,Male,1973,Married,2,132,Staff,Contarct Basis,2020,Resigned,2022.0,2.0,3,1
1110,Zakary Emmerich,Male,1985,Married,1,133,Staff,Contarct Basis,2020,Inactive,2020.0,10.0,3,1
1120,Antone Kautzer,Male,1994,Single,1,38,Labour,Contarct Basis,2020,Active,,,3,3
1121,Margaretta Braun,Male,1986,Married,1,31,Labour,Contarct Basis,2020,Resigned,2021.0,2.0,3,2
1126,Mallory Runolfsson,Male,1987,Single,1,122,Labour,Contarct Basis,2019,Active,,,3,10
1127,Mrs Ivah Vandervort,Male,1987,Married,1,31,Labour,Contarct Basis,2020,Resigned,2022.0,3.0,2,7
1130,Esteban Davis,Male,1968,Married,4,31,Labour,Contarct Basis,2020,Inactive,2020.0,10.0,3,2
